window_id,window_start,packet_count,bytes_per_second,avg_packet_size,packet_size_std,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,unique_ip_pairs,unique_port_pairs,unique_connections,dns_query_count,bytes_in,bytes_out,packets_in,packets_out,io_bytes_ratio,io_packet_ratio,new_connections,syn_count,fin_count,rst_count,syn_fin_ratio,connection_termination_ratio,retransmission_count,retransmission_rate,internal_external_ratio,ttl_mean,ttl_std,http_get_count,http_post_count,http_other_count,is_baseline,file_source
29028308,1741698480,462,3435.8333333333335,446.2121212121212,555.8466051988488,0,24,27,43,37,49,76,87,5,0,0,0,0,0,0,10,10,10,16,1.0,2.6,1,0.0021645021645021645,0.0,57.474945533769066,15.602529114133452,0,0,0,True,baseline_day1.pcap
29028309,1741698540,118,405.4166666666667,206.14406779661016,337.4639284031458,0,10,10,13,14,18,22,22,2,0,0,0,0,0,0,2,2,4,6,0.5,5.0,0,0.0,0.0,57.62280701754386,21.39371540399935,0,0,0,True,baseline_day1.pcap
29028310,1741698600,301,1384.65,276.00996677740864,410.8663926286662,0,12,12,28,26,22,48,51,5,0,0,0,0,0,0,14,14,4,0,3.5,0.2857142857142857,0,0.0,0.0,61.313131313131315,16.729767295569346,0,0,0,True,baseline_day1.pcap
29028311,1741698660,726,4982.116666666667,411.74517906336087,529.6310294467193,0,19,19,40,39,36,73,77,10,0,0,0,0,0,0,14,14,7,7,2.0,1.0,2,0.0027548209366391185,0.0,60.41103448275862,17.97989343392676,0,0,0,True,baseline_day1.pcap
29028312,1741698720,1052,9826.966666666667,560.4733840304183,619.8426332352436,0,18,20,36,36,36,65,69,7,0,0,0,0,0,0,19,19,19,4,1.0,1.2105263157894737,1,0.0009505703422053232,0.0,63.65033621517772,20.287291119389202,0,0,0,True,baseline_day1.pcap
29028313,1741698780,2988,30903.033333333333,620.5428380187416,590.8177074410925,0,32,32,85,85,62,164,171,24,0,0,0,0,0,0,25,25,17,1,1.4705882352941178,0.72,10,0.0033467202141900937,0.0,60.095445411922306,10.672118120443193,0,0,0,True,baseline_day1.pcap
29028314,1741698840,403,3074.25,457.7047146401985,555.6113791293071,0,17,19,31,29,34,52,54,6,0,0,0,0,0,0,16,16,9,3,1.7777777777777777,0.75,3,0.007444168734491315,0.0,63.125,17.689527268980367,0,0,0,True,baseline_day1.pcap
29028315,1741698900,301,811.1333333333333,161.68770764119603,283.24341599769053,0,18,20,28,25,36,45,45,1,0,0,0,0,0,0,10,10,24,17,0.4166666666666667,4.1,5,0.016611295681063124,0.0,58.96258503401361,17.222294959085307,0,0,0,True,baseline_day1.pcap
29028316,1741698960,1027,7941.333333333333,463.95326192794545,532.8725518641916,0,23,26,37,33,47,64,65,6,0,0,0,0,0,0,12,12,11,6,1.0909090909090908,1.4166666666666667,1,0.0009737098344693282,0.0,61.6356513222331,14.445156585089274,0,0,0,True,baseline_day1.pcap
29028317,1741699020,300,1498.6333333333334,299.7266666666667,420.9829908941954,0,21,24,34,31,43,59,69,4,0,0,0,0,0,0,6,6,4,3,1.5,1.1666666666666667,0,0.0,0.0,64.83946488294315,18.83285877431558,0,0,0,True,baseline_day1.pcap
29028318,1741699080,341,1177.6333333333334,207.20821114369502,313.2983934435934,0,19,18,48,48,34,87,95,19,0,0,0,0,0,0,8,8,7,2,1.1428571428571428,1.125,1,0.002932551319648094,0.0,64.26517571884985,29.276853565258396,0,0,0,True,baseline_day1.pcap
29028319,1741699140,72,442.1666666666667,368.47222222222223,539.8532715321364,0,11,12,12,11,21,20,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,69.95833333333333,19.01785527982702,0,0,0,True,baseline_day1.pcap
