window_start,packet_count,bytes_per_second,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,avg_packet_size,is_baseline
1742289900,2174,16926.45,0,24,25,66,60,467.1513339466421,True
1742289960,6888,49017.05,0,23,24,43,41,426.977787456446,True
1742290020,15623,241190.6,0,32,33,74,67,926.2904691800551,True
1742290080,471,2566.9,0,19,17,24,23,326.9936305732484,True
1742290140,318,1343.2833333333333,0,18,18,24,22,253.4496855345912,True
1742290200,5199,90269.15,0,23,19,36,31,1041.7674552798615,True
1742290260,8830,159129.6,0,21,19,42,36,1081.288335220838,True
1742290320,523,1478.2,0,17,15,30,30,169.5831739961759,True
1742290380,642,3843.4166666666665,0,23,19,40,37,359.1978193146417,True
1742290440,551,1723.2666666666667,0,17,16,36,33,187.65154264972776,True
1742290500,1430,15977.75,0,19,18,24,24,670.3951048951049,True
1742290560,1746,10621.666666666666,0,24,23,84,78,365.0057273768614,True
1742290620,19218,353394.23333333334,0,21,17,30,27,1103.3226142158394,True
1742290680,957,9043.816666666668,0,24,20,50,43,567.0104493207941,True
1742290740,769,2839.65,0,20,20,49,43,221.5591677503251,True
1742290800,724,3488.866666666667,0,28,25,65,56,289.1325966850829,True
1742290860,420,1374.4333333333334,0,23,24,61,41,196.34761904761905,True
1742290920,1390,7354.05,0,45,65,219,108,317.4410071942446,True
1742290980,2350,11656.7,0,72,75,206,150,297.61787234042555,True
1742291040,8690,96974.88333333333,0,60,64,331,227,669.5619102416571,True
1742291100,986,6053.1,0,32,38,84,53,368.342799188641,True
1742291160,550,3208.133333333333,0,28,34,45,34,349.97818181818184,True
1742291220,452,2391.6666666666665,0,15,21,41,31,317.4778761061947,True
1742291280,2101,11046.783333333333,0,52,64,218,150,315.4721561161352,True
1742291340,249193,5287025.2,0,8,10,192,192,1272.9952767533598,True
1742291400,131908,2715786.183333333,0,4,5,41,37,1235.3092382569669,True
1742291460,2345,10002.116666666667,0,5,6,96,96,255.917697228145,True
1742291520,697,3189.25,0,2,3,33,33,274.54088952654234,True
1742291580,774,3360.733333333333,0,4,5,37,36,260.5219638242894,True
1742291640,598,3336.0666666666666,0,6,7,25,25,334.72240802675583,True
1742291700,508,2259.5666666666666,0,4,5,39,39,266.87795275590554,True
1742052660,327,1507.8,0,17,18,37,33,276.6605504587156,True
1742052720,3579,41266.65,0,23,23,82,80,691.81307627829,True
1742052780,4876,54145.933333333334,0,23,23,99,90,666.2748154224774,True
1742052840,1087,8822.283333333333,0,22,22,50,48,486.9705611775529,True
1742052900,2776,35793.0,0,21,21,43,42,773.6239193083574,True
1742052960,2177,24471.55,0,24,21,57,53,674.4570509875977,True
1742053020,1479,16455.466666666667,0,23,22,45,43,667.5645706558486,True
1742053080,725,7163.75,0,23,24,51,48,592.8620689655172,True
1742053140,3420,51999.416666666664,0,22,22,42,39,912.2704678362574,True
1742053200,3779,63225.51666666667,0,30,31,60,49,1003.845197142101,True
1742053260,2797,25069.716666666667,0,30,30,71,58,537.7844118698606,True
1742053320,4063,48920.566666666666,0,27,28,77,67,722.4302239724342,True
1742053380,5093,57104.566666666666,0,25,27,80,80,672.7418024739839,True
1742053440,1965,18378.45,0,20,24,62,56,561.1740458015267,True
1742053500,661,3917.1666666666665,0,23,26,39,37,355.5673222390318,True
1742053560,403,1768.45,0,18,20,37,36,263.2928039702233,True
1742053620,332,2362.233333333333,0,19,21,39,37,426.9096385542169,True
1742053680,1026,6808.683333333333,0,21,23,88,70,398.16861598440545,True
1742053740,4381,26245.45,0,43,42,180,145,359.4446473407898,True
1742053800,3386,36544.76666666667,0,25,24,71,68,647.5741287655051,True
1742053860,1486,13324.083333333334,0,29,29,67,61,537.9845222072678,True
1742053920,2045,24668.5,0,16,17,43,40,723.7701711491443,True
1742053980,3307,41989.433333333334,0,33,33,56,51,761.8282431206532,True
1742054040,1145,14344.366666666667,0,16,15,21,21,751.6698689956332,True
1742054100,2830,36957.96666666667,0,22,21,41,38,783.5611307420495,True
1742054160,2898,36034.083333333336,0,25,27,48,46,746.0472739820566,True
1742054220,2545,30361.016666666666,0,27,27,62,60,715.7803536345776,True
1742054280,1600,16734.85,0,19,19,48,46,627.556875,True
1742054340,625,2724.75,0,19,19,42,39,261.576,True
1742054400,1913,21567.183333333334,0,23,22,44,41,676.440669106116,True
1742054460,3803,53548.583333333336,0,17,18,38,34,844.8369708125165,True
1742054520,3305,43030.63333333333,0,21,21,46,45,781.1915279878971,True
1742054580,2819,34016.0,0,28,28,48,44,724.0014189428875,True
1742054640,4426,64734.36666666667,0,17,19,23,22,877.5558065973792,True
1742054700,1856,23606.316666666666,0,21,21,30,27,763.1352370689655,True
1742054760,446,4240.883333333333,0,16,17,23,22,570.5224215246636,True
1742054820,904,6098.566666666667,0,19,20,40,39,404.7721238938053,True
1742054880,3239,44839.183333333334,0,21,21,40,38,830.6116085211485,True
1742054940,1746,24608.216666666667,0,21,21,32,30,845.6431844215349,True
1742055000,663,3945.883333333333,0,15,16,29,29,357.09351432880845,True
1742055060,421,1680.8,0,20,20,33,30,239.54394299287412,True
1742055120,1461,8191.616666666667,0,20,19,73,71,336.4113620807666,True
1742055180,733,6351.666666666667,0,17,20,48,44,519.9181446111869,True
1742055240,372,2627.983333333333,0,17,19,27,25,423.8682795698925,True
1742055300,1018,4039.85,0,16,17,57,57,238.10510805500982,True
1742055360,2345,26811.833333333332,0,12,14,37,36,686.0170575692964,True
1742055420,905,3574.0333333333333,0,15,16,50,50,236.9524861878453,True
1742055480,612,2636.0666666666666,0,23,23,45,41,258.437908496732,True
1742055540,4748,45705.01666666667,0,38,41,120,95,577.5697135636058,True
1742055600,2387,21606.466666666667,0,31,33,60,56,543.1034771679933,True
1742055660,998,8443.1,0,24,25,64,53,507.6012024048096,True
1742055720,2637,22470.483333333334,0,23,26,69,67,511.2737959802806,True
1742055780,911,8579.233333333334,0,26,28,56,52,565.0428100987925,True
1742055840,718,2747.633333333333,0,24,25,53,51,229.60724233983288,True
1742055900,709,2554.85,0,19,21,49,49,216.20733427362484,True
1742055960,942,3127.5,0,19,19,62,59,199.20382165605096,True
1742056020,842,3402.266666666667,0,24,23,72,70,242.4418052256532,True
1742056080,2078,20015.533333333333,0,25,26,63,57,577.9268527430221,True
1742056140,2351,22793.683333333334,0,22,24,61,60,581.7188430455126,True
1742056200,1069,7817.083333333333,0,22,24,48,47,438.7511693171188,True
1742056260,2406,18316.916666666668,0,25,27,94,86,456.7809642560266,True
1742056320,1931,14005.266666666666,0,19,20,47,46,435.171413775246,True
1741949580,718,3064.766666666667,0,21,27,79,64,256.10863509749305,True
1741949640,1292,10062.35,0,25,35,63,57,467.29179566563465,True
1741949700,13518,275531.85,0,26,28,49,44,1222.9553928095872,True
1741949760,4963,80105.16666666667,0,29,30,66,54,968.4283699375378,True
1741949820,1263,3417.483333333333,0,28,31,70,63,162.3507521773555,True
1741949880,1791,9320.466666666667,0,27,29,74,73,312.2434394193188,True
1741949940,707,4435.966666666666,0,16,20,32,32,376.46110325318244,True
1741950000,895,6397.25,0,17,25,51,42,428.8659217877095,True
1741950060,1618,6065.233333333334,0,16,19,67,65,224.9159456118665,True
1741950120,798,3363.15,0,16,18,46,44,252.8684210526316,True
1741950180,1469,8628.666666666666,0,22,24,71,66,352.430224642614,True
1741950240,3109,21439.95,0,17,16,34,33,413.7655194596333,True
1741950300,617,3868.1833333333334,0,17,15,27,26,376.16045380875204,True
1741950360,9281,122106.61666666667,0,41,41,132,93,789.3973709729555,True
1741950420,1491,13606.983333333334,0,22,23,45,39,547.5647216633132,True
1741950480,2711,13945.683333333332,0,33,40,157,127,308.64662486167464,True
1741950540,1001,7347.916666666667,0,18,19,42,41,440.43456543456546,True
1741950600,1738,10894.25,0,27,35,60,54,376.09608745684693,True
1741950660,596,4671.75,0,12,16,30,23,470.31040268456377,True
1741950720,173,664.5333333333333,0,8,9,23,21,230.47398843930637,True
1741950780,3512,24621.033333333333,0,15,17,43,43,420.63268792710704,True
1741950840,310,1331.6333333333334,0,13,16,37,35,257.73548387096776,True
1741950900,172,400.23333333333335,0,10,12,29,26,139.61627906976744,True
1741950960,320,1901.3666666666666,0,15,16,34,31,356.50625,True
1741951020,288,1315.6666666666667,0,13,15,33,27,274.09722222222223,True
1741951080,1171,4486.516666666666,0,18,18,62,59,229.8812980358668,True
1741951140,965,4593.583333333333,0,14,16,28,26,285.61139896373055,True
1741951200,810,3059.9166666666665,0,18,17,46,41,226.6604938271605,True
1741951260,1340,13854.983333333334,0,21,21,64,59,620.3723880597015,True
1741951320,1449,15036.533333333333,0,17,19,47,45,622.6307798481712,True
1741951380,264,622.7833333333333,0,11,12,22,22,141.54166666666666,True
1741951440,99,197.18333333333334,0,9,9,14,15,119.5050505050505,True
1741951500,2101,17488.3,0,31,36,126,106,499.4278914802475,True
1741951560,1221,6980.35,0,17,22,74,60,343.014742014742,True
1741951620,894,4613.383333333333,0,20,24,71,62,309.6230425055928,True
1741951680,1352,15350.1,0,17,17,42,41,681.2174556213017,True
1741951740,259,2404.4,0,10,11,21,20,557.003861003861,True
1741951800,1382,18418.45,0,13,12,27,27,799.6432706222865,True
1741951860,516,5278.066666666667,0,14,15,33,28,613.7286821705426,True
1741951920,177,1154.2666666666667,0,11,12,24,23,391.2768361581921,True
1741951980,293,921.0,0,11,12,24,23,188.60068259385665,True
1741952040,852,10729.366666666667,0,16,16,40,32,755.5892018779343,True
1741952100,257,2260.1833333333334,0,11,14,26,22,527.6692607003891,True
1741952160,384,2908.4166666666665,0,14,14,33,30,454.4401041666667,True
1741952220,3229,34801.583333333336,0,17,19,52,50,646.6692474450294,True
1741952280,3555,33878.183333333334,0,33,35,125,108,571.7836849507736,True
1741952340,874,7926.8,0,15,20,50,49,544.1739130434783,True
1741952400,693,2585.4666666666667,0,14,15,45,46,223.84992784992784,True
1741952460,290,1830.7166666666667,0,8,8,25,24,378.7689655172414,True
1741952520,457,1571.45,0,11,10,32,30,206.31728665207876,True
1741952580,549,1622.1333333333334,0,9,11,36,35,177.28233151183971,True
1741952640,278,1660.8166666666666,0,10,13,26,24,358.4496402877698,True
1741952700,203,1847.0166666666667,0,10,11,22,22,545.9162561576354,True
1741952760,1211,14135.733333333334,0,17,19,53,42,700.3666391412056,True
1741952820,922,6818.616666666667,0,13,14,34,30,443.7277657266811,True
1741952880,368,1155.1833333333334,0,14,18,30,28,188.3451086956522,True
1741952940,604,3170.483333333333,0,11,10,19,20,314.94867549668874,True
1741953000,793,3279.483333333333,0,15,19,44,37,248.13240857503152,True
1741953060,686,3854.133333333333,0,17,20,68,55,337.09620991253644,True
1741953120,9740,119999.3,0,54,58,211,148,739.2154004106776,True
1741953180,753,4019.2166666666667,0,16,18,43,37,320.25630810092963,True
1741695540,215,1387.6,0,11,11,12,13,387.2372093023256,True
1741695600,886,5789.416666666667,0,20,23,43,43,392.05981941309255,True
1741695660,565,3140.55,0,16,18,31,31,333.50973451327434,True
1741695720,708,4323.333333333333,0,16,18,31,26,366.38418079096044,True
1741695780,5685,70047.61666666667,0,39,38,129,130,739.2888302550572,True
1741695840,114246,1986632.1833333333,0,37,38,109,103,1043.344458449311,True
1741695900,2094,19553.883333333335,0,27,27,41,38,560.2831900668577,True
